sample_id,lfdn,lfdn_key,source_var,response_text_raw,response_text,n_words,n_chars,stratum,response_freq,sample_seed,pre001,ostwest,sup057
gles_mip_v1_0077,7065,7065,pre020s,Instabilität der Sozialversicherungen,Instabilität der Sozialversicherungen,3,37,short_phrase,1,2025,male,West Germany,3
gles_mip_v1_0078,4100,4100,pre020s,"Abschiebungen von Straftätern, Auffälligen und Menschen ohne Aufenthaltesgenehmigung sollte im Ruckzuckverfahren gehen","Abschiebungen von Straftätern, Auffälligen und Menschen ohne Aufenthaltesgenehmigung sollte im Ruckzuckverfahren gehen",12,118,elaborated,1,2025,female,West Germany,6
gles_mip_v1_0079,4872,4872,pre020s,Flüchtlingspolitik bzw. Ausweisung krimineller Ausländer,Flüchtlingspolitik bzw. Ausweisung krimineller Ausländer,5,56,elaborated,1,2025,male,West Germany,6
gles_mip_v1_0080,3911,3911,pre020s,Finanzen,Finanzen,1,8,single_word,25,2025,female,Unit nonresponse,Unit nonresponse
gles_mip_v1_0081,6678,6678,pre020s,"Zu viele Asylanten, die ausreisepflichtig sind","Zu viele Asylanten, die ausreisepflichtig sind",6,46,elaborated,1,2025,female,West Germany,8
gles_mip_v1_0082,7072,7072,pre020s,Die Renten sind zu gering,Die Renten sind zu gering,5,25,elaborated,1,2025,female,East Germany,6
gles_mip_v1_0083,662,662,pre020s,Afd (Rassismus),Afd (Rassismus),2,15,short_phrase,1,2025,female,West Germany,1 left
gles_mip_v1_0084,3177,3177,pre020s,Keine Führungsstärke,Keine Führungsstärke,2,20,short_phrase,1,2025,female,East Germany,6
gles_mip_v1_0085,8811,8811,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,male,West Germany,8
gles_mip_v1_0086,4833,4833,pre020s,die allgemeine Untätigkeit der Politik und Regierung,die allgemeine Untätigkeit der Politik und Regierung,7,52,elaborated,1,2025,male,West Germany,6
gles_mip_v1_0087,3366,3366,pre020s,Kindisches Verhalten,Kindisches Verhalten,2,20,short_phrase,1,2025,male,West Germany,5
gles_mip_v1_0088,2985,2985,pre020s,"Asylanten, die hier Geld kassieren, aber nicht arbeiten wollen","Asylanten, die hier Geld kassieren, aber nicht arbeiten wollen",9,62,elaborated,1,2025,female,West Germany,6
gles_mip_v1_0089,750,750,pre020s,Wird nicht an Deutschland gedacht,Wird nicht an Deutschland gedacht,5,33,elaborated,1,2025,female,West Germany,8
gles_mip_v1_0090,2650,2650,pre020s,Frieden,Frieden,1,7,single_word,31,2025,male,West Germany,6
gles_mip_v1_0091,1779,1779,pre020s,ungeregelte zuanderung,ungeregelte zuanderung,2,22,short_phrase,1,2025,male,West Germany,7
gles_mip_v1_0092,7376,7376,pre020s,Zuwanderung,Zuwanderung,1,11,single_word,113,2025,female,West Germany,5
gles_mip_v1_0093,6808,6808,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,male,West Germany,5
gles_mip_v1_0094,8628,8628,pre020s,Gesellschaftliche Spaltung,Gesellschaftliche Spaltung,2,26,short_phrase,9,2025,male,West Germany,4
gles_mip_v1_0095,783,783,pre020s,Zahlungen an Fremde Länder,Zahlungen an Fremde Länder,4,26,short_phrase,1,2025,female,West Germany,5
gles_mip_v1_0096,8212,8212,pre020s,Die Zusammenarbeit der Parteien ist stark eingebrochen,Die Zusammenarbeit der Parteien ist stark eingebrochen,7,54,elaborated,1,2025,male,West Germany,6
gles_mip_v1_0097,4449,4449,pre020s,Zuviel Sozialleistungen,Zuviel Sozialleistungen,2,23,short_phrase,1,2025,male,West Germany,8
gles_mip_v1_0098,1691,1691,pre020s,Bürgergeld,Bürgergeld,1,10,single_word,13,2025,male,West Germany,9
gles_mip_v1_0099,4562,4562,pre020s,Angst im eigenen Land,Angst im eigenen Land,4,21,short_phrase,1,2025,female,West Germany,5
gles_mip_v1_0100,3167,3167,pre020s,die schlechtesten Parteien dieser Welt regieren das Land!,die schlechtesten Parteien dieser Welt regieren das Land!,8,57,elaborated,1,2025,male,West Germany,6
gles_mip_v1_0101,1952,1952,pre020s,klima,klima,1,5,single_word,30,2025,female,West Germany,4
gles_mip_v1_0102,3941,3941,pre020s,Es wird keine Politik für die eigenen Bürger gemacht.,Es wird keine Politik für die eigenen Bürger gemacht.,9,53,elaborated,1,2025,male,West Germany,4
gles_mip_v1_0103,2496,2496,pre020s,Wirtschaftliche Lage,Wirtschaftliche Lage,2,20,short_phrase,99,2025,male,West Germany,3
gles_mip_v1_0104,8766,8766,pre020s,Steigende Kosten,Steigende Kosten,2,16,short_phrase,2,2025,female,East Germany,Not ratable
gles_mip_v1_0105,1118,1118,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,female,West Germany,6
gles_mip_v1_0106,2207,2207,pre020s,Dass an den falschen Ecken gespart wird u.a. An der Polizei und Infrastruktur,Dass an den falschen Ecken gespart wird u.a. An der Polizei und Infrastruktur,14,77,elaborated,1,2025,male,West Germany,5
gles_mip_v1_0107,4268,4268,pre020s,schlechte Wirtschaftslage,schlechte Wirtschaftslage,2,25,short_phrase,11,2025,female,West Germany,7
gles_mip_v1_0108,2526,2526,pre020s,Ukraine Krieg beenden,Ukraine Krieg beenden,3,21,short_phrase,1,2025,male,East Germany,11 right
gles_mip_v1_0109,8205,8205,pre020s,Tendenz zur AFD in der  Bevölkerung,Tendenz zur AFD in der Bevölkerung,6,34,elaborated,1,2025,female,East Germany,3
gles_mip_v1_0110,1231,1231,pre020s,Migration und die daraus resultierenden Probleme in allen Bereichen,Migration und die daraus resultierenden Probleme in allen Bereichen,9,67,elaborated,1,2025,female,West Germany,7
gles_mip_v1_0111,2425,2425,pre020s,Ehrlichkeit der Politiker zu den Menschen,Ehrlichkeit der Politiker zu den Menschen,6,41,elaborated,1,2025,male,East Germany,5
gles_mip_v1_0112,3905,3905,pre020s,Die Migration richtig lenken und die Einwanderer in Arbeit bringen,Die Migration richtig lenken und die Einwanderer in Arbeit bringen,10,66,elaborated,1,2025,male,East Germany,4
gles_mip_v1_0113,2440,2440,pre020s,unfähiger Bundeskanzler,unfähiger Bundeskanzler,2,23,short_phrase,1,2025,male,West Germany,7
gles_mip_v1_0114,8540,8540,pre020s,das es dem eigenen volk besser geht,das es dem eigenen volk besser geht,7,35,elaborated,1,2025,female,West Germany,Not ratable
gles_mip_v1_0115,7832,7832,pre020s,Energikosten Sicherheit Frieden und Wirtschaft,Energikosten Sicherheit Frieden und Wirtschaft,5,46,elaborated,1,2025,male,West Germany,6
gles_mip_v1_0116,7212,7212,pre020s,Klimaneutraler Wirtschaftsumbau,Klimaneutraler Wirtschaftsumbau,2,31,short_phrase,1,2025,female,West Germany,5
gles_mip_v1_0117,992,992,pre020s,Migration,Migration,1,9,single_word,1128,2025,female,West Germany,4
gles_mip_v1_0118,1354,1354,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,male,West Germany,2
gles_mip_v1_0119,8493,8493,pre020s,Krankenhausreform--------,Krankenhausreform--------,1,25,single_word,1,2025,female,East Germany,2
gles_mip_v1_0120,3446,3446,pre020s,Aufnahme von zu vielen Flüchtlingen,Aufnahme von zu vielen Flüchtlingen,5,35,elaborated,1,2025,female,West Germany,6
gles_mip_v1_0121,1687,1687,pre020s,Die Gesundheit der Firmen und der Wirtschaft.,Die Gesundheit der Firmen und der Wirtschaft.,7,45,elaborated,1,2025,male,West Germany,6
gles_mip_v1_0122,3216,3216,pre020s,Diskriminierung von deutschen,Diskriminierung von deutschen,3,29,short_phrase,1,2025,male,West Germany,6
gles_mip_v1_0123,2349,2349,pre020s,Das sich Arbeit nicht nicht mehr für jeden finanziell lohnt,Das sich Arbeit nicht nicht mehr für jeden finanziell lohnt,10,59,elaborated,1,2025,male,East Germany,5
gles_mip_v1_0124,127,127,pre020s,Energie,Energie,1,7,single_word,29,2025,male,East Germany,7
gles_mip_v1_0125,5680,5680,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,female,West Germany,1 left
gles_mip_v1_0126,7418,7418,pre020s,Niedrige Steuern für Reiche,Niedrige Steuern für Reiche,4,27,short_phrase,1,2025,male,West Germany,1 left
gles_mip_v1_0127,3821,3821,pre020s,Digitaler Wandel wird nicht genug beachtet,Digitaler Wandel wird nicht genug beachtet,6,42,elaborated,1,2025,female,West Germany,5
gles_mip_v1_0128,8705,8705,pre020s,Das die AfD nicht gewinnt,Das die AfD nicht gewinnt,5,25,elaborated,1,2025,female,West Germany,6
gles_mip_v1_0129,3869,3869,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,male,West Germany,6
gles_mip_v1_0130,5112,5112,pre020s,Gelder in andere Länder geben egal aus welchem Grund,Gelder in andere Länder geben egal aus welchem Grund,9,52,elaborated,1,2025,female,West Germany,6
gles_mip_v1_0131,7377,7377,pre020s,Schlechte Wirtschaftslage,Schlechte Wirtschaftslage,2,25,short_phrase,11,2025,female,West Germany,6
gles_mip_v1_0132,7073,7073,pre020s,Zu viel kann man nicht genau definieren,Zu viel kann man nicht genau definieren,7,39,elaborated,1,2025,male,West Germany,5
gles_mip_v1_0133,9083,9083,pre020s,Migrationsproblem,Migrationsproblem,1,17,single_word,4,2025,male,West Germany,6
gles_mip_v1_0134,1610,1610,pre020s,"Migration, Energie, Kosten für Miete und Lebensmittel","Migration, Energie, Kosten für Miete und Lebensmittel",7,53,elaborated,1,2025,male,Unit nonresponse,Unit nonresponse
gles_mip_v1_0135,1286,1286,pre020s,bezahlbare Mieten und mehr wohnraum,bezahlbare Mieten und mehr wohnraum,5,35,elaborated,1,2025,male,East Germany,6
gles_mip_v1_0136,7930,7930,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,male,East Germany,5
gles_mip_v1_0137,1806,1806,pre020s,Migration,Migration,1,9,single_word,1128,2025,female,West Germany,6
gles_mip_v1_0138,7129,7129,pre020s,Der Rechtsruck,Der Rechtsruck,2,14,short_phrase,11,2025,male,West Germany,1 left
gles_mip_v1_0139,5555,5555,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,male,Unit nonresponse,Unit nonresponse
gles_mip_v1_0140,6273,6273,pre020s,Die Abwehr eines aggressiven Rußlands.,Die Abwehr eines aggressiven Rußlands.,5,38,elaborated,1,2025,male,West Germany,9
gles_mip_v1_0141,8286,8286,pre020s,Innere Sicherheit,Innere Sicherheit,2,17,short_phrase,38,2025,female,West Germany,6
gles_mip_v1_0142,4686,4686,pre020s,"Die Wirtschaft ist unterster Tiefpunkt, besser geht es nicht mehr tief!?","Die Wirtschaft ist unterster Tiefpunkt, besser geht es nicht mehr tief!?",11,72,elaborated,1,2025,male,West Germany,5
gles_mip_v1_0143,6710,6710,pre020s,Ich bezahle Steuer und habe nichts davon wenn man Kinder bekommt wird man in der elternzeit bestraft weil man arbeiten war. Harz 4 Empfänger bekommen volle drei Jahre ihr Geld bekommen Kita bezahlt und alles und als Arbeitnehmer weis man kaum wie man über,Ich bezahle Steuer und habe nichts davon wenn man Kinder bekommt wird man in der elternzeit bestraft weil man arbeiten war. Harz 4 Empfänger bekommen volle drei Jahre ihr Geld bekommen Kita bezahlt und alles und als Arbeitnehmer weis man kaum wie man über,44,255,elaborated,1,2025,female,East Germany,5
gles_mip_v1_0144,1243,1243,pre020s,Glaube an Demokratie,Glaube an Demokratie,3,20,short_phrase,1,2025,male,East Germany,6
gles_mip_v1_0145,227,227,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,male,West Germany,6
gles_mip_v1_0146,1918,1918,pre020s,Förderung der eigenen Wirtschaft,Förderung der eigenen Wirtschaft,4,32,short_phrase,1,2025,male,East Germany,6
gles_mip_v1_0147,3912,3912,pre020s,Wirtschaftslage,Wirtschaftslage,1,15,single_word,51,2025,male,West Germany,6
gles_mip_v1_0148,6136,6136,pre020s,"Das nicht an die Bürger des eigenen Landes gedacht wird, alles wird teurer und einem wird immer mehr Geld vom Staat aus der Tasche gezogen.","Das nicht an die Bürger des eigenen Landes gedacht wird, alles wird teurer und einem wird immer mehr Geld vom Staat aus der Tasche gezogen.",25,139,elaborated,1,2025,female,West Germany,1 left
gles_mip_v1_0149,5650,5650,pre020s,Wird zu stark von der Wirtschaft beeinflusst,Wird zu stark von der Wirtschaft beeinflusst,7,44,elaborated,1,2025,female,West Germany,Not ratable
gles_mip_v1_0150,1686,1686,pre020s,Das mehr Gesetze beachtet wird.,Das mehr Gesetze beachtet wird.,5,31,elaborated,1,2025,male,West Germany,5
gles_mip_v1_0151,5165,5165,pre020s,Die Uneinigkeit unter einander,Die Uneinigkeit unter einander,4,30,short_phrase,1,2025,male,West Germany,5
gles_mip_v1_0152,1847,1847,pre020s,Schutz der Millionäre und dessen Geld,Schutz der Millionäre und dessen Geld,6,37,elaborated,1,2025,female,East Germany,4
gles_mip_v1_0153,6703,6703,pre020s,"Die Entwertung des Vermögens, durch Steuern","Die Entwertung des Vermögens, durch Steuern",6,43,elaborated,1,2025,male,West Germany,7
gles_mip_v1_0154,6357,6357,pre020s,Falsche Asyl Politik die mit Frau Merkel angefangen hat.,Falsche Asyl Politik die mit Frau Merkel angefangen hat.,9,56,elaborated,1,2025,male,West Germany,9
gles_mip_v1_0155,7687,7687,pre020s,Flüchtlinge,Flüchtlinge,1,11,single_word,85,2025,male,West Germany,6
gles_mip_v1_0156,4670,4670,pre020s,"Sehr schlimm  wegen  kaufe ,Geld  und Arbeit","Sehr schlimm wegen kaufe ,Geld und Arbeit",7,41,elaborated,1,2025,female,West Germany,5
gles_mip_v1_0157,6094,6094,pre020s,Immigranten,Immigranten,1,11,single_word,7,2025,male,East Germany,7
gles_mip_v1_0158,8219,8219,pre020s,Die Hetze,Die Hetze,2,9,short_phrase,1,2025,male,Unit nonresponse,Unit nonresponse
gles_mip_v1_0159,6346,6346,pre020s,Umwelt,Umwelt,1,6,single_word,19,2025,female,West Germany,6
gles_mip_v1_0160,5589,5589,pre020s,Asyl,Asyl,1,4,single_word,76,2025,male,West Germany,6
gles_mip_v1_0161,3245,3245,pre020s,Geld bleibt nicht in Deutschland,Geld bleibt nicht in Deutschland,5,32,elaborated,1,2025,male,Unit nonresponse,Unit nonresponse
gles_mip_v1_0162,2062,2062,pre020s,Energie gesetz,Energie gesetz,2,14,short_phrase,1,2025,male,West Germany,4
gles_mip_v1_0163,1180,1180,pre020s,Der Verdienst von Behinderten - Mitarbeiter in den WfbM´s,Der Verdienst von Behinderten - Mitarbeiter in den WfbM´s,9,57,elaborated,1,2025,male,West Germany,Not ratable
gles_mip_v1_0164,7594,7594,pre020s,Das die Attentaten aufhören u.die Anschläge auf Veranstaltungen,Das die Attentaten aufhören u.die Anschläge auf Veranstaltungen,9,63,elaborated,1,2025,female,West Germany,Not ratable
gles_mip_v1_0165,5693,5693,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,male,West Germany,9
gles_mip_v1_0166,8114,8114,pre020s,"Flüchtlinge, Asylbewerber, die sich nicht einfügen/anpassen wollen","Flüchtlinge, Asylbewerber, die sich nicht einfügen/anpassen wollen",8,66,elaborated,1,2025,female,Unit nonresponse,Unit nonresponse
gles_mip_v1_0167,1406,1406,pre020s,Das seien Einigkeit herrschst und es nur ein Machtkampf ist ohne darauf zu hören was die Bürger wollen,Das seien Einigkeit herrschst und es nur ein Machtkampf ist ohne darauf zu hören was die Bürger wollen,18,102,elaborated,1,2025,male,West Germany,5
gles_mip_v1_0168,4499,4499,pre020s,Arbeitsplätze,Arbeitsplätze,1,13,single_word,2,2025,male,West Germany,5
gles_mip_v1_0169,4674,4674,pre020s,"Zu viele Flüchtige in Deutschland, sind gewalttätig aber werden nicht abgeschoben","Zu viele Flüchtige in Deutschland, sind gewalttätig aber werden nicht abgeschoben",11,81,elaborated,1,2025,female,West Germany,9
gles_mip_v1_0170,7931,7931,pre020s,wirtschaft,wirtschaft,1,10,single_word,1133,2025,male,West Germany,4
gles_mip_v1_0171,5998,5998,pre020s,soziale Ungerechtigkeit,soziale Ungerechtigkeit,2,23,short_phrase,27,2025,male,West Germany,8
gles_mip_v1_0172,4716,4716,pre020s,Die wirtschaftliche Lage,Die wirtschaftliche Lage,3,24,short_phrase,11,2025,female,East Germany,6
