sample_id,review_group,variable,model_value,reviewed_value,note
gles_mip_v1_0045,flagged,issue_domain,other,democracy_governance,
gles_mip_v1_0380,flagged,issue_domain,other,unclear,
gles_mip_v1_0017,flagged,issue_domain,other,unclear,
gles_mip_v1_0055,nonflagged_audit,issue_domain,security,migration,
gles_mip_v1_0132,nonflagged_audit,issue_domain,social_welfare,unclear,
gles_mip_v1_0227,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0359,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0258,flagged,specificity,framed_claim,actor_reference,
gles_mip_v1_0164,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0279,flagged,specificity,framed_claim,named_policy,
gles_mip_v1_0280,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0076,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0062,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0218,flagged,specificity,framed_claim,actor_reference,
gles_mip_v1_0122,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0373,flagged,specificity,framed_claim,actor_reference,
gles_mip_v1_0156,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0210,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0343,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0087,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0173,flagged,specificity,label_only,actor_reference,
gles_mip_v1_0061,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0358,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0079,flagged,specificity,framed_claim,named_policy,
gles_mip_v1_0360,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0202,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0398,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0201,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0114,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0361,flagged,specificity,label_only,named_policy,
gles_mip_v1_0014,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0276,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0089,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0167,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0045,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0326,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0150,flagged,specificity,label_only,framed_claim,
gles_mip_v1_0259,flagged,specificity,label_only,actor_reference,
gles_mip_v1_0372,nonflagged_audit,specificity,label_only,actor_reference,
gles_mip_v1_0332,nonflagged_audit,specificity,label_only,named_policy,
gles_mip_v1_0132,nonflagged_audit,specificity,label_only,framed_claim,
gles_mip_v1_0379,nonflagged_audit,specificity,label_only,named_policy,
gles_mip_v1_0184,nonflagged_audit,specificity,label_only,framed_claim,
gles_mip_v1_0214,nonflagged_audit,specificity,label_only,named_policy,
gles_mip_v1_0295,nonflagged_audit,specificity,label_only,actor_reference,
gles_mip_v1_0019,nonflagged_audit,specificity,framed_claim,named_policy,
gles_mip_v1_0236,nonflagged_audit,specificity,label_only,framed_claim,
gles_mip_v1_0141,nonflagged_audit,specificity,label_only,named_policy,
gles_mip_v1_0146,nonflagged_audit,specificity,label_only,named_policy,
gles_mip_v1_0227,flagged,framing,descriptive,evaluative,
gles_mip_v1_0151,flagged,framing,descriptive,evaluative,
gles_mip_v1_0327,flagged,framing,descriptive,evaluative,
gles_mip_v1_0158,flagged,framing,descriptive,evaluative,
gles_mip_v1_0076,flagged,framing,descriptive,evaluative,
gles_mip_v1_0062,flagged,framing,descriptive,evaluative,
gles_mip_v1_0218,flagged,framing,evaluative,directive,
gles_mip_v1_0373,flagged,framing,evaluative,directive,
gles_mip_v1_0070,flagged,framing,descriptive,evaluative,
gles_mip_v1_0343,flagged,framing,descriptive,evaluative,
gles_mip_v1_0222,flagged,framing,descriptive,evaluative,
gles_mip_v1_0362,flagged,framing,descriptive,evaluative,
gles_mip_v1_0087,flagged,framing,descriptive,evaluative,
gles_mip_v1_0173,flagged,framing,evaluative,directive,
gles_mip_v1_0061,flagged,framing,descriptive,directive,
gles_mip_v1_0358,flagged,framing,descriptive,evaluative,
gles_mip_v1_0079,flagged,framing,evaluative,directive,
gles_mip_v1_0360,flagged,framing,evaluative,descriptive,
gles_mip_v1_0138,flagged,framing,descriptive,evaluative,
gles_mip_v1_0114,flagged,framing,evaluative,directive,
gles_mip_v1_0363,flagged,framing,evaluative,directive,
gles_mip_v1_0276,flagged,framing,descriptive,evaluative,
gles_mip_v1_0089,flagged,framing,descriptive,evaluative,
gles_mip_v1_0167,flagged,framing,descriptive,directive,
gles_mip_v1_0045,flagged,framing,descriptive,evaluative,
gles_mip_v1_0326,flagged,framing,descriptive,evaluative,
gles_mip_v1_0150,flagged,framing,descriptive,directive,
gles_mip_v1_0017,flagged,framing,descriptive,evaluative,
gles_mip_v1_0259,flagged,framing,evaluative,directive,
gles_mip_v1_0372,nonflagged_audit,framing,evaluative,directive,
gles_mip_v1_0332,nonflagged_audit,framing,descriptive,evaluative,
gles_mip_v1_0055,nonflagged_audit,framing,evaluative,directive,
gles_mip_v1_0027,nonflagged_audit,framing,descriptive,evaluative,
gles_mip_v1_0184,nonflagged_audit,framing,descriptive,evaluative,
gles_mip_v1_0295,nonflagged_audit,framing,evaluative,directive,
gles_mip_v1_0019,nonflagged_audit,framing,evaluative,directive,
gles_mip_v1_0236,nonflagged_audit,framing,descriptive,evaluative,
gles_mip_v1_0109,nonflagged_audit,framing,descriptive,evaluative,
gles_mip_v1_0146,nonflagged_audit,framing,descriptive,directive,
gles_mip_v1_0115,flagged,ambiguity,low,medium,
gles_mip_v1_0151,flagged,ambiguity,high,medium,
gles_mip_v1_0327,flagged,ambiguity,high,medium,
gles_mip_v1_0164,flagged,ambiguity,medium,low,
gles_mip_v1_0174,flagged,ambiguity,low,medium,
gles_mip_v1_0279,flagged,ambiguity,low,medium,
gles_mip_v1_0223,flagged,ambiguity,low,medium,
gles_mip_v1_0280,flagged,ambiguity,low,medium,
gles_mip_v1_0221,flagged,ambiguity,low,medium,
gles_mip_v1_0243,flagged,ambiguity,high,medium,
gles_mip_v1_0076,flagged,ambiguity,high,medium,
gles_mip_v1_0062,flagged,ambiguity,high,medium,
gles_mip_v1_0122,flagged,ambiguity,high,medium,
gles_mip_v1_0025,flagged,ambiguity,low,medium,
gles_mip_v1_0239,flagged,ambiguity,low,medium,
gles_mip_v1_0070,flagged,ambiguity,high,medium,
gles_mip_v1_0156,flagged,ambiguity,high,medium,
gles_mip_v1_0039,flagged,ambiguity,low,medium,
gles_mip_v1_0210,flagged,ambiguity,high,low,
gles_mip_v1_0060,flagged,ambiguity,low,medium,
gles_mip_v1_0031,flagged,ambiguity,high,low,
gles_mip_v1_0343,flagged,ambiguity,high,low,
gles_mip_v1_0298,flagged,ambiguity,low,medium,
gles_mip_v1_0222,flagged,ambiguity,low,medium,
gles_mip_v1_0052,flagged,ambiguity,low,medium,
gles_mip_v1_0362,flagged,ambiguity,high,low,
gles_mip_v1_0369,flagged,ambiguity,medium,low,
gles_mip_v1_0087,flagged,ambiguity,high,medium,
gles_mip_v1_0265,flagged,ambiguity,low,medium,
gles_mip_v1_0061,flagged,ambiguity,high,medium,
gles_mip_v1_0134,flagged,ambiguity,low,medium,
gles_mip_v1_0358,flagged,ambiguity,low,medium,
gles_mip_v1_0336,flagged,ambiguity,low,medium,
gles_mip_v1_0398,flagged,ambiguity,high,medium,
gles_mip_v1_0138,flagged,ambiguity,high,low,
gles_mip_v1_0264,flagged,ambiguity,low,medium,
gles_mip_v1_0114,flagged,ambiguity,high,medium,
gles_mip_v1_0361,flagged,ambiguity,high,medium,
gles_mip_v1_0276,flagged,ambiguity,high,medium,
gles_mip_v1_0089,flagged,ambiguity,high,medium,
gles_mip_v1_0399,flagged,ambiguity,high,medium,
gles_mip_v1_0011,flagged,ambiguity,low,medium,
gles_mip_v1_0167,flagged,ambiguity,high,low,
gles_mip_v1_0045,flagged,ambiguity,high,medium,
gles_mip_v1_0326,flagged,ambiguity,high,low,
gles_mip_v1_0150,flagged,ambiguity,high,medium,
gles_mip_v1_0270,flagged,ambiguity,high,medium,
gles_mip_v1_0259,flagged,ambiguity,high,low,
gles_mip_v1_0124,nonflagged_audit,ambiguity,low,medium,
gles_mip_v1_0080,nonflagged_audit,ambiguity,low,medium,
gles_mip_v1_0027,nonflagged_audit,ambiguity,low,medium,
gles_mip_v1_0132,nonflagged_audit,ambiguity,medium,high,
gles_mip_v1_0184,nonflagged_audit,ambiguity,medium,low,
gles_mip_v1_0391,nonflagged_audit,ambiguity,low,medium,
gles_mip_v1_0109,nonflagged_audit,ambiguity,medium,low,
gles_mip_v1_0359,flagged,multi_issue,True,False,
gles_mip_v1_0164,flagged,multi_issue,True,False,
gles_mip_v1_0156,flagged,multi_issue,True,False,
gles_mip_v1_0079,flagged,multi_issue,True,False,
gles_mip_v1_0202,flagged,multi_issue,True,False,
gles_mip_v1_0363,flagged,multi_issue,True,False,
